,,page,paragraph,positions,text_snippet
"Pontormo, Jacopo da (Jacopo Carrucci)","Tasso, Battista del",31,37.0,"(267, 606)","him; and the same refusal was made by Ridolfo Ghirlandajo, Bronzino, and many others. Now at this time Giorgio Vasari, having returned from Bologna, was executing for Messer Bindo Altoviti the altar-piece of his chapel in S. Apostolo at Florence, but he was not held in much consideration, although he had friendship with Tribolo and Tasso"
"Bandinelli, Baccio (Baccio de' Brandini)","Vinci, Pierino (Piero) da",42,47.0,"(1100, 1110)",he saw him
Tribolo (Niccolï¿½),"Vinci, Pierino (Piero) da",43,48.0,"(739, 757)",his brain. Tribolo
"Vinci, Leonardo da","Vinci, Pierino (Piero) da",44,50.0,"(292, 301)",his uncle
"Bandinelli, Baccio (Baccio de' Brandini)","Viviano, Michelagnolo di",56,66.0,"(202, 209)",his son
"Bandinelli, Baccio (Baccio de' Brandini)","Buda, Girolamo del",56,67.0,"(295, 322)","Girolamo, turning to Baccio"
"Bandinelli, Baccio (Baccio de' Brandini)","Buonarroti, Michelagnolo|Viviano, Michelagnolo di",57,69.0,"(70, 77)",his son
"Buonarroti, Michelagnolo|Viviano, Michelagnolo di","Vinci, Leonardo da",57,69.0,"(163, 337)","his friends, placed him under the care of Giovan Francesco Rustici, one of the best sculptors in the city, whose workshop was still constantly frequented by Leonardo da Vinci"
"Bandinelli, Baccio (Baccio de' Brandini)","Vinci, Leonardo da",57,69.0,"(659, 680)","Leonardo, set himself"
"Bandinelli, Baccio (Baccio de' Brandini)","Buonarroti, Michelagnolo",98,125.0,"(408, 418)",him Baccio
"Bandinelli, Baccio (Baccio de' Brandini)","Sarto, Andrea del (Andrea d' Agnolo)",59,71.0,"(1579, 1589)",his friend
"Bandinelli, Baccio (Baccio de' Brandini)","Contucci, Andrea (Andrea Sansovino)",62,76.0,"(1472, 1492)",Baccio answering him
"Bandinelli, Baccio (Baccio de' Brandini)",Piloto,69,86.0,"(1224, 1238)",Baccio. Piloto
"Bandinelli, Baccio (Baccio de' Brandini)","Prato, Francesco di Girolamo dal",73,91.0,"(572, 625)","Francesco dal Prato, who had gone with him to Bologna"
"Prato, Francesco di Girolamo dal","Viviano, Michelagnolo di",73,91.0,"(697, 781)","his father's engagements, but also to make something out of the labours of Francesco"
"Bandinelli, Baccio (Baccio de' Brandini)","Lombardi, Alfonso",77,98.0,"(799, 819)",he was. This Alfonso
"Bandinelli, Baccio (Baccio de' Brandini)","Settignano, Solosmeo da (Antonio di Giovanni)",80,102.0,"(1067, 1083)","Baccio, Solosmeo"
"Agnolo, Giuliano di Baccio d'","Bandinelli, Baccio (Baccio de' Brandini)",84,108.0,"(46, 65)",Baccio and Giuliano
"Bandinelli, Baccio (Baccio de' Brandini)","Cellini, Benvenuto",97,123.0,"(705, 719)","him, Benvenuto"
"Bandinelli, Baccio (Baccio de' Brandini)","Rossi, Vincenzio de'",94,120.0,"(442, 461)",he caused Vincenzio
"Bandinelli, Baccio (Baccio de' Brandini)","Bandinelli, Clemente",95,121.0,"(1021, 1037)",his son Clemente
"Bandinelli, Baccio (Baccio de' Brandini)","Bandinelli, Baccio (Baccio de' Brandini)|Bandinelli, Clemente",95,121.0,"(2311, 2344)","Baccio and to art, and Bandinelli"
"Bandinelli, Baccio (Baccio de' Brandini)|Bandinelli, Clemente","Bandinelli, Clemente",95,121.0,"(2277, 2344)","Clemente was a very great loss to Baccio and to art, and Bandinelli"
"Ammanati, Bartolommeo","Cellini, Benvenuto",100,130.0,"(51, 76)",Ammanati and of Benvenuto
"Cellini, Benvenuto","Vasari, Giorgio",99,128.0,"(298, 404)","Benvenuto, considered for many reasons that this work belonged to him. Now it happened that Giorgio Vasari"
"Buonarroti, Michelagnolo","Cellini, Benvenuto",99,128.0,"(298, 831)","Benvenuto, considered for many reasons that this work belonged to him. Now it happened that Giorgio Vasari had to go to Rome with the Cardinal, the son of the Duke, when he went to receive his hat, and Ammanati gave to Vasari a little model of wax showing the shape in which he desired to carve that figure from the marble, and a piece of wood reproducing the exact proportions—the length, breadth, thickness, and inclination from the straight—of the marble, to the end that Giorgio might show them in Rome to Michelagnolo Buonarroti"
"Ammanati, Bartolommeo","Vasari, Giorgio",99,128.0,"(487, 508)","his hat, and Ammanati"
"Ammanati, Bartolommeo","Buonarroti, Michelagnolo",99,128.0,"(860, 1102)","his opinion in the matter, and so move the Duke to give him the marble. All this Giorgio did most willingly, and it was the reason that the Duke gave orders that an arch should be partitioned off in the Loggia of the Piazza, and that Ammanati"
"Bugiardini, Giuliano","Buonarroti, Michelagnolo",107,134.0,"(1026, 1046)",he saw in Giuliano's
"Albertinelli, Mariotto","Bugiardini, Giuliano",108,137.0,"(276, 287)",he gave him
"Bugiardini, Giuliano|Buonarroti, Michelagnolo",Tribolo (Niccolï¿½),112,142.0,"(1, 28)","Tribolo, his dearest friend"
"Bugiardini, Giuliano",Tribolo (Niccolï¿½),112,142.0,"(1151, 1167)","himself, Tribolo"
"Bugiardini, Giuliano|Buonarroti, Michelagnolo","Buonarroti, Michelagnolo",112,142.0,"(145, 184)","his figures only in outline, Bugiardini"
"Bugiardini, Giuliano","Bugiardini, Giuliano|Buonarroti, Michelagnolo",112,142.0,"(679, 761)","Giuliano. However, since that manner did not please the smooth fancy of Bugiardini"
"Bronzino, Agnolo","Bugiardini, Giuliano",113,145.0,"(26, 41)",Bronzino how he
"Colle, Raffaello dal (Raffaello dal Borgo)|Sanzio, Raffaello (Raffaello da Urbino)","Romano, Giulio (Giulio Pippi de' Giannuzzi)",117,146.0,"(331, 365)","Giulio and Raffaello da Urbino, he"
"Cungi, Battista","Gherardi, Cristofano (Doceno)",122,153.0,"(153, 176)",Cristofano and Battista
"Gherardi, Cristofano (Doceno)","Veltroni, Stefano",124,156.0,"(1693, 1717)",him; and even so Stefano
"Gherardi, Cristofano (Doceno)","Pagani, Lattanzio",128,159.0,"(1029, 1060)",he was recommended by Lattanzio
"Martino, Bartolommeo di Jacopo di","Pontormo, Jacopo da (Jacopo Carrucci)",147,186.0,"(992, 1018)",our Jacopo. But the father
"Pontormo, Jacopo da (Jacopo Carrucci)","Sarto, Andrea del (Andrea d' Agnolo)",148,187.0,"(242, 301)","Andrea del Sarto, with whom, likewise, he did not stay long"
"Albertinelli, Mariotto","Pontormo, Jacopo da (Jacopo Carrucci)",148,187.0,"(736, 778)","Jacopo, who was at that time with Mariotto"
"Albertinelli, Mariotto","Sarto, Andrea del (Andrea d' Agnolo)",148,187.0,"(156, 301)","Mariotto Albertinelli, then with Piero di Cosimo, and finally, in the year 1512, with Andrea del Sarto, with whom, likewise, he did not stay long"
"Bronzino, Agnolo","Pontormo, Jacopo da (Jacopo Carrucci)",175,239.0,"(865, 908)","Jacopo, therefore, having summoned Bronzino"
"Bronzino, Agnolo","Rosso, Il (Giovan Battista de' Rossi)",149,188.0,"(328, 396)",he remembers having heard from Jacopo da Pontormo himself that Rosso
"Bronzino, Agnolo","Cosimo, Andrea di (Andrea di Cosimo Feltrini)|Sarto, Andrea del (Andrea d' Agnolo)",149,188.0,"(328, 449)",he remembers having heard from Jacopo da Pontormo himself that Rosso likewise worked on this predella. And even as Andrea
"Pontormo, Jacopo da (Jacopo Carrucci)","Rosso, Il (Giovan Battista de' Rossi)",149,188.0,"(378, 396)",himself that Rosso
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)|Sarto, Andrea del (Andrea d' Agnolo)","Pontormo, Jacopo da (Jacopo Carrucci)",149,189.0,"(1674, 1691)",his master Andrea
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)|Sarto, Andrea del (Andrea d' Agnolo)","Rosso, Il (Giovan Battista de' Rossi)",149,188.0,"(391, 449)",Rosso likewise worked on this predella. And even as Andrea
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Pontormo, Jacopo da (Jacopo Carrucci)",149,189.0,"(1064, 1075)",he gave him
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Cosimo, Andrea di (Andrea di Cosimo Feltrini)|Sarto, Andrea del (Andrea d' Agnolo)",149,189.0,"(1115, 1691)","he had no little trouble to persuade him to undertake to do it, seeing that, being a mere lad, he did not wish to expose himself at the outset to such a risk, or to work in a place of so much importance. However, having taken heart, although he was not as well practised in fresco as in oil-painting, Jacopo undertook to paint those two figures. And, withdrawing—for he was still working with Andrea del Sarto—to draw the cartoons at S. Antonio by the Porta a Faenza, where he lived, in a short time he carried them to completion; which done, one day he took his master Andrea"
"Dï¿½rer, Albrecht","Pontormo, Jacopo da (Jacopo Carrucci)",164,216.0,"(656, 663)","his, he"
"Buonarroti, Michelagnolo","Pontormo, Jacopo da (Jacopo Carrucci)",172,234.0,"(476, 513)",Michelagnolo's design and of Jacopo's
"Cioli, Simone","Contucci, Andrea (Andrea Sansovino)",189,254.0,"(442, 504)",his death had left incomplete; and he contrived to take Simone
"Cioli, Simone","Mosca, Simone",189,254.0,"(928, 992)","Simone Cioli, the best—and rare indeed they are—are all by Mosca"
"Contucci, Andrea (Andrea Sansovino)","Mosca, Simone",189,254.0,"(442, 685)","his death had left incomplete; and he contrived to take Simone to work there. He ordained that Simone should have charge not only of the carvings, but also of the architecture and of the other ornaments of that work; in which commissions Mosca"
"Mosca, Simone","San Gallo, Antonio da (the younger)",190,255.0,"(239, 251)",he loved him
"Buonarroti, Michelagnolo","Mosca, Simone",194,260.0,"(1029, 1112)",his Holiness order the work to be done. Wherefore Vasari was not able to give Mosca
"Mosca, Simone","Moschino, Francesco",194,261.0,"(78, 358)","his designs, in the cross at the head of the church, two great tabernacles of marble, works truly graceful, beautiful, and well-proportioned, for one of which Raffaello da Montelupo made in marble a nude Christ with the Cross on His shoulder in a niche, and for the other Moschino"
"Genga, Girolamo","Signorelli, Luca (Luca da Cortona)",199,264.0,"(733, 768)","he stayed many years, following him"
"Genga, Girolamo","Menzochi, Francesco (Francesco da Forlï¿½)|Salviati, Francesco (Francesco de' Rossi)",205,276.0,"(824, 841)","Genga, because he"
"Genga, Bartolommeo","Genga, Girolamo",208,282.0,"(160, 170)",his father
"San Michele, Matteo","San Michele, Michele",219,294.0,"(832, 886)","Matteo San Michele, an excellent architect, his cousin"
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Sanzio, Raffaello (Raffaello da Urbino)",249,338.0,"(568, 606)","Perugino, who had once been his master"
