,,page,paragraph,positions,text_snippet
"Dï¿½rer, Albrecht","Urbino, Bramante da",232,320.0,"(266, 479)","this most noble craftsman, by reason of the aforesaid works and many others, having passed into France and Flanders, Albrecht Dürer, a most marvellous German painter, and an engraver of very beautiful copperplates"
"Bolognese, Marc' Antonio (Marc' Antonio Raimondi, or de' Franci)","Sanzio, Raffaello (Raffaello da Urbino)",232,321.0,"(282, 308)",Raffaello commissioned him
"Sanzio, Raffaello (Raffaello da Urbino)","Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",237,329.0,"(181, 257)","Giovanni da Udine, his disciple, who has no equal in the painting of animals"
"Romano, Giulio (Giulio Pippi de' Giannuzzi)","Sanzio, Raffaello (Raffaello da Urbino)",247,342.0,"(723, 769)","Giulio Romano, whom he had always loved dearly"
"Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)","Urbino, Bramante da",237,329.0,"(840, 1167)","Bramante. The Pope wishing to demonstrate the greatness and magnificence of his generous ambition, Raffaello made the designs for the ornaments in stucco and for the scenes that were painted there, and likewise for the compartments; and as for the stucco and the grotesques, he placed at the head of that work Giovanni da Udine"
"Romano, Giulio (Giulio Pippi de' Giannuzzi)","Urbino, Bramante da",237,329.0,"(840, 1214)","Bramante. The Pope wishing to demonstrate the greatness and magnificence of his generous ambition, Raffaello made the designs for the ornaments in stucco and for the scenes that were painted there, and likewise for the compartments; and as for the stucco and the grotesques, he placed at the head of that work Giovanni da Udine, and the figures he entrusted to Giulio Romano"
"Romano, Giulio (Giulio Pippi de' Giannuzzi)","Udine, Giovanni da (Giovanni Nanni, or de' Ricamatori)",237,329.0,"(1150, 1214)","Giovanni da Udine, and the figures he entrusted to Giulio Romano"
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Vinci, Leonardo da",242,337.0,"(926, 1010)","Pietro, he sought to the best of his power and knowledge to imitate that of Leonardo"
"Marcilla, Guglielmo da (Guillaume de Marcillac)","Urbino, Bramante da",254,352.0,"(625, 866)","Bramante, a letter was written to France, inviting them to come to Rome, and offering them good payments. Thereupon Maestro Claudio, a Frenchman, the head of that art, having received the intelligence, and knowing the excellence of Guglielmo"
"Claudio, Maestro","Urbino, Bramante da",254,352.0,"(625, 791)","Bramante, a letter was written to France, inviting them to come to Rome, and offering them good payments. Thereupon Maestro Claudio, a Frenchman, the head of that art"
"Claudio, Maestro","Marcilla, Guglielmo da (Guillaume de Marcillac)",254,352.0,"(1148, 1174)",Maestro Claudio to get him
"Marcilla, Guglielmo da (Guillaume de Marcillac)","Pecori, Domenico",257,358.0,"(1131, 1159)","Domenico, received Guglielmo"
"Cronaca, Il (Simone del Pollaiuolo)","Pollaiuolo, Antonio",265,370.0,"(197, 244)",him it is related that while Antonio Pollaiuolo
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Maiano, Benedetto da",266,372.0,"(554, 568)",him. Benedetto
"Ammanati, Bartolommeo","Bandinelli, Baccio (Baccio de' Brandini)",274,378.0,"(2322, 2345)",Bandinelli and Ammanati
"Credi, Lorenzo di","Ghirlandajo, Ridolfo",280,383.0,"(734, 1136)","him for many years, because, although they had many invitations into Spain and Hungary from merchants and others, they were never induced either by promises or by money to tear themselves away from the delights of their country, in which they had more work to do than they were able to execute. One of these two was Antonio del Ceraiuolo, a Florentine, who, having been many years with Lorenzo di Credi"
"Ghirlandajo, Ridolfo","Sarto, Andrea del (Andrea d' Agnolo)",281,384.0,"(1120, 1214)","his disciple, and of those that he executed when he was so much the friend of Andrea del Sarto"
