,,page,paragraph,positions,text_snippet
"Buonarroti, Michelagnolo","Montelupo, Raffaello da",69,80.0,"(1178, 1201)",himself in those of his
"Buonarroti, Michelagnolo","San Gallo, Antonio da (the younger)",65,74.0,"(1080, 1103)","San Gallo, Michelagnolo"
"San Gallo, Antonio da (the younger)","Urbino, Bramante da",65,74.0,"(196, 238)","Bramante, and left by Antonio da San Gallo"
"Buonarroti, Michelagnolo","Porta, Fra Guglielmo della (Guglielmo Milanese)",235,337.0,"(419, 439)",Michelagnolo put him
"Bigio, Nanni di Baccio (Giovanni di Baccio)","Buonarroti, Michelagnolo",239,343.0,"(1419, 1436)",Michelagnolo. His
"Bigio, Nanni di Baccio (Giovanni di Baccio)","Montelupo, Raffaello da",69,80.0,"(1178, 1441)","himself in those of his own tomb of Julius II, and he was content, rather, that they should be entrusted to Bartolommeo Ammanati, whom Vasari had proposed, although Buonarroti had something of a private grievance against him, as also against Nanni di Baccio Bigio"
"Buonarroti, Michelagnolo",Tribolo (Niccolï¿½),78,100.0,"(262, 287)",Tribolo finally asked him
"Buonarroti, Michelagnolo","Calcagni, Tiberio",99,143.0,"(610, 624)",himself of him
"Buonarroti, Michelagnolo","Ricciarelli, Daniello (Daniello da Volterra)",100,144.0,"(1702, 1738)",Daniello; and with this Michelagnolo
"Bigio, Nanni di Baccio (Giovanni di Baccio)","Ricciarelli, Daniello (Daniello da Volterra)",101,144.0,"(64, 1636)","his place Nanni di Baccio Bigio, who came in and was accepted by the superintendents. Before very long he gave orders to make a scaffolding of wood from the side of the Pope's stables, where the hill is, to rise above the great recess that is turned towards that side, and caused some stout beams of fir to be cut, saying that too many ropes were consumed in drawing up the materials, and that it was better to raise them by his method. Which having heard, Michelagnolo went straight to the Pope, who was on the Piazza di Campidoglio, and made so much noise that his Holiness made him go at once into a room, where he said: ""Holy Father, there has been appointed as my substitute by the deputies a man of whom I know nothing; but if they are convinced, and also your Holiness, that I am no longer the proper man, I will return to rest in Florence, where I will enjoy the favours of that great Duke who has so long desired me, and will finish my life in my own house; I therefore beg your gracious leave."" The Pope was vexed at this, and, consoling him with kind words, ordained that he should come to speak with him on the following day at the Araceli. There, having caused the deputies of the fabric to be assembled together, he desired to be informed of the reasons of what had happened: whereupon their answer was that the fabric was going to ruin, and that errors were being made in it. Which having heard not to be the truth, the Pope commanded Signor Gabrio Scerbellone that he should go to see the fabric for himself, and that Nanni, who was making these assertions"
"Buonarroti, Michelagnolo","Ligorio, Pirro",102,144.0,"(603, 717)","Michelagnolo should be carried into execution with the utmost fidelity, so that, when the architects Pirro Ligorio"
"Buonarroti, Michelagnolo","Venusti, Marcello (Marcello Mantovano)",106,149.0,"(443, 601)","Marcello in a picture in the Church of S. Giovanni Laterano, the design of which belongs to Duke Cosimo de' Medici, having been presented after Michelagnolo's"
"Buonarroti, Michelagnolo","Condivi, Ascanio (Ascanio dalla Ripa Transone)",107,150.0,"(1441, 1453)",him with his
"Buonarroti, Michelagnolo","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",114,154.0,"(142, 230)","he left, but the gates are still standing."" Vasari, sent by Julius III to Michelagnolo's"
"Buonarroti, Michelagnolo",Menighella,114,155.0,"(199, 220)","Michelagnolo, that he"
"Buonarroti, Michelagnolo",Topolino,115,156.0,"(1310, 1317)",him his
"Buonarroti, Michelagnolo","Minga, Andrea del",131,195.0,"(77, 348)","him with beautiful invention and manner, there was on the left hand the statue of Sculpture, wrought very well by the sculptor Antonio di Gino Lorenzi. In the fourth of those four scenes, which faced towards the organ, there could be seen, to suggest Poetry, Michelagnolo"
"Buonarroti, Michelagnolo",Parrhasius,133,200.0,"(178, 586)","his right hand, were figures considerably larger than life of the most famous and most highly celebrated sculptors and painters of antiquity. Each of these could be recognized by some notable sign; Praxiteles by the Satyr that is in the Vigna of Pope Julius III, Apelles by the portrait of Alexander the Great, Zeuxis by a little panel on which were figured the grapes that deceived the birds, and Parrhasius"
"Buonarroti, Michelagnolo",Giotto,133,200.0,"(178, 844)","his right hand, were figures considerably larger than life of the most famous and most highly celebrated sculptors and painters of antiquity. Each of these could be recognized by some notable sign; Praxiteles by the Satyr that is in the Vigna of Pope Julius III, Apelles by the portrait of Alexander the Great, Zeuxis by a little panel on which were figured the grapes that deceived the birds, and Parrhasius with the covering counterfeited in painting over his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto"
"Buonarroti, Michelagnolo",Masaccio,133,200.0,"(178, 1031)","his right hand, were figures considerably larger than life of the most famous and most highly celebrated sculptors and painters of antiquity. Each of these could be recognized by some notable sign; Praxiteles by the Satyr that is in the Vigna of Pope Julius III, Apelles by the portrait of Alexander the Great, Zeuxis by a little panel on which were figured the grapes that deceived the birds, and Parrhasius with the covering counterfeited in painting over his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto could be recognized there by a little panel on which was seen the portrait of Dante as a young man, in the manner in which he may be seen in S. Croce, painted by Giotto himself; Masaccio"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Buonarroti, Michelagnolo",133,200.0,"(178, 1186)","his right hand, were figures considerably larger than life of the most famous and most highly celebrated sculptors and painters of antiquity. Each of these could be recognized by some notable sign; Praxiteles by the Satyr that is in the Vigna of Pope Julius III, Apelles by the portrait of Alexander the Great, Zeuxis by a little panel on which were figured the grapes that deceived the birds, and Parrhasius with the covering counterfeited in painting over his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto could be recognized there by a little panel on which was seen the portrait of Dante as a young man, in the manner in which he may be seen in S. Croce, painted by Giotto himself; Masaccio by his portrait from life, Donatello likewise by his portrait, and also by his Zuccone from the Campanile, which was by his side, and Filippo Brunelleschi"
Giotto,Parrhasius,133,200.0,"(636, 844)","his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto"
Masaccio,Parrhasius,133,200.0,"(636, 1031)","his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto could be recognized there by a little panel on which was seen the portrait of Dante as a young man, in the manner in which he may be seen in S. Croce, painted by Giotto himself; Masaccio"
Donato (Donatello),Parrhasius,133,200.0,"(636, 1068)","his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto could be recognized there by a little panel on which was seen the portrait of Dante as a young man, in the manner in which he may be seen in S. Croce, painted by Giotto himself; Masaccio by his portrait from life, Donatello"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Parrhasius,133,200.0,"(636, 1186)","his picture; and, even as these, so the others were known by other signs. On the left hand were those who have been illustrious in these arts in our own centuries, from Cimabue to the present day. Thus Giotto could be recognized there by a little panel on which was seen the portrait of Dante as a young man, in the manner in which he may be seen in S. Croce, painted by Giotto himself; Masaccio by his portrait from life, Donatello likewise by his portrait, and also by his Zuccone from the Campanile, which was by his side, and Filippo Brunelleschi"
Giotto,Masaccio,133,200.0,"(1014, 1031)",himself; Masaccio
Donato (Donatello),Giotto,133,200.0,"(1014, 1068)","himself; Masaccio by his portrait from life, Donatello"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Giotto,133,200.0,"(1014, 1186)","himself; Masaccio by his portrait from life, Donatello likewise by his portrait, and also by his Zuccone from the Campanile, which was by his side, and Filippo Brunelleschi"
Donato (Donatello),Masaccio,133,200.0,"(1035, 1068)","his portrait from life, Donatello"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Masaccio,133,200.0,"(1035, 1186)","his portrait from life, Donatello likewise by his portrait, and also by his Zuccone from the Campanile, which was by his side, and Filippo Brunelleschi"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),133,200.0,"(1152, 1186)","his side, and Filippo Brunelleschi"
"Primaticcio, Francesco, Description of Works","Romano, Giulio (Giulio Pippi de' Giannuzzi)",146,229.0,"(189, 222)",he employed such interest that he
"Primaticcio, Francesco, Description of Works","Rosso, Il (Giovan Battista de' Rossi)",147,230.0,"(234, 314)","his designs and in great part adorned with stucco-work and pictures, Primaticcio"
"Fontana, Prospero","Primaticcio, Francesco, Description of Works",150,234.0,"(988, 1003)",Prospero to him
"Castelfranco, Giorgione da","Vecelli, Tiziano (Tiziano da Cadore)",165,254.0,"(1474, 1495)",Tiziano and Giorgione
"Bernardi, Giovanni (Giovanni da Castel Bolognese)","Vecelli, Tiziano (Tiziano da Cadore)",164,254.0,"(296, 317)",the said Giovanni. He
"Sanzio, Raffaello (Raffaello da Urbino)","Vecelli, Tiziano (Tiziano da Cadore)",165,254.0,"(1663, 1701)","he might see Rome, Raffaello da Urbino"
"Castelfranco, Giorgione da","Sanzio, Raffaello (Raffaello da Urbino)",165,254.0,"(1486, 1701)","Giorgione ever gained in all their lives. Then he was invited to Rome by Bembo, whom he had already portrayed, and who was at that time Secretary to Pope Leo X, to the end that he might see Rome, Raffaello da Urbino"
"Licinio, Giovanni Antonio (Cuticello, or Pordenone)","Vecelli, Tiziano (Tiziano da Cadore)",167,258.0,"(27, 92)","Tiziano found that a number of gentlemen, who had taken Pordenone"
"Romano, Giulio (Giulio Pippi de' Giannuzzi)","Vecelli, Tiziano (Tiziano da Cadore)",168,258.0,"(1077, 1145)","he painted, for the adornment of a room among those of Giulio Romano"
"Buonarroti, Michelagnolo","Vecelli, Tiziano (Tiziano da Cadore)",170,264.0,"(1098, 1125)",his portraits. Michelagnolo
"Rosa, Cristofano","Vecelli, Tiziano (Tiziano da Cadore)",177,273.0,"(484, 520)","his brother, painters of Brescia. He"
"Bordone, Paris","Castelfranco, Giorgione da",179,276.0,"(219, 226)",him. He
"Bordone, Paris","Vecelli, Tiziano (Tiziano da Cadore)",179,276.0,"(906, 927)",he took it out of his
"Contucci, Andrea (Andrea Sansovino)","Sansovino, Jacopo (Jacopo Tatti)",187,283.0,"(1052, 1173)","him. And such were the reciprocal friendliness and love between these two, as it were between father and son, that Jacopo"
"Sansovino, Jacopo (Jacopo Tatti)","Sarto, Andrea del (Andrea d' Agnolo)",188,284.0,"(370, 407)",Andrea del Sarto and Jacopo Sansovino
"Montelupo, Baccio da","Sansovino, Jacopo (Jacopo Tatti)",188,284.0,"(1347, 1398)","his being an older master, rather than to Sansovino"
"Sansovino, Jacopo (Jacopo Tatti)","Unghero, Nanni",188,284.0,"(1563, 1584)","Nanni, being then his"
"Montelupo, Baccio da","Sarto, Andrea del (Andrea d' Agnolo)",188,284.0,"(737, 1068)","Andrea, they gave one another very great assistance. And that this is true a proof is that in the altar-piece of S. Francesco, belonging to the Nuns of the Via Pentolini, there is a S. John the Evangelist which was copied from a most beautiful model in clay that Sansovino made in those days in competition with Baccio da Montelupo"
"Sarto, Andrea del (Andrea d' Agnolo)","Unghero, Nanni",188,284.0,"(737, 1551)","Andrea, they gave one another very great assistance. And that this is true a proof is that in the altar-piece of S. Francesco, belonging to the Nuns of the Via Pentolini, there is a S. John the Evangelist which was copied from a most beautiful model in clay that Sansovino made in those days in competition with Baccio da Montelupo; for the Guild of Por Santa Maria wished to have a bronze statue of four braccia made for a niche at the corner of Orsanmichele, opposite to the Wool-Shearers, for which Jacopo made a more beautiful model in clay than Baccio, but nevertheless it was allotted to Montelupo, from his being an older master, rather than to Sansovino, although his work, young as he was, was the better. That model, which is a very beautiful thing, is now in the possession of the heirs of Nanni Unghero"
"Montelupo, Baccio da","Unghero, Nanni",188,284.0,"(1347, 1551)","his being an older master, rather than to Sansovino, although his work, young as he was, was the better. That model, which is a very beautiful thing, is now in the possession of the heirs of Nanni Unghero"
"Sansovino, Jacopo (Jacopo Tatti)","Sanzio, Raffaello (Raffaello da Urbino)",189,285.0,"(644, 668)",Raffaello that Sansovino
"Sansovino, Jacopo (Jacopo Tatti)","Urbino, Bramante da",190,286.0,"(398, 437)","Bramante, then, desiring that Sansovino"
"Perugino, Pietro (Pietro Vannucci, or Pietro da Castel della Pieve)","Sansovino, Jacopo (Jacopo Tatti)",189,286.0,"(589, 642)","Pietro, having seen the beautiful manner of Sansovino"
"Bandinelli, Baccio (Baccio de' Brandini)","Sansovino, Jacopo (Jacopo Tatti)",190,286.0,"(2151, 2181)",Bandinelli and hated Sansovino
"Bandinelli, Baccio (Baccio de' Brandini)","Urbino, Bramante da",190,286.0,"(517, 1672)","him; whereupon Jacopo, setting to work, displayed such diligence and so much grace in restoring them, that the Pope and all who saw them judged that nothing better could be done. These praises so spurred Sansovino to surpass himself, that, having given himself beyond measure to his studies, and being, also, somewhat delicate in constitution and suffering from some excess such as young men commit, he became so ill that he was forced for the sake of his life to return to Florence, where, profiting by his native air, by the advantage of his youth, and by the diligence and care of the physicians, in a short time he completely recovered. Now Messer Piero Pitti was arranging at that time to have a Madonna of marble made for that façade of the Mercato Nuovo in Florence where the clock is, and it appeared to him, since there were in Florence many young men of ability and also old masters, that the work should be given to that one among them who might make the best model. Whereupon one was given to Baccio da Montelupo to execute, one to Zaccheria Zacchi of Volterra, who had likewise returned to Florence the same year, another to Baccio Bandinelli"
"Fabbro, Pippo del","Sansovino, Jacopo (Jacopo Tatti)",192,287.0,"(1180, 1190)",his master
"Sansovino, Jacopo (Jacopo Tatti)","Serlio, Sebastiano",196,291.0,"(1054, 1209)","he had made at each of the four corners of that church a tribune, and a larger tribune in the centre, after the likeness of the plan that Sebastiano Serlio"
"Lombardo, Girolamo (Girolamo Ferrarese)","Sansovino, Jacopo (Jacopo Tatti)",202,298.0,"(711, 734)",he came under Sansovino
"Salï¿½, Pietro da","Sansovino, Jacopo (Jacopo Tatti)",204,301.0,"(141, 166)","Sansovino, who taught him"
"Lugano, Tommaso da","Sansovino, Jacopo (Jacopo Tatti)",206,303.0,"(230, 243)","Sansovino, he"
"Ammanati, Bartolommeo","Sansovino, Jacopo (Jacopo Tatti)",207,305.0,"(162, 209)","This Bartolommeo, I say, worked under Sansovino"
"Cattaneo, Danese (Danese da Carrara)","Sansovino, Jacopo (Jacopo Tatti)",210,306.0,"(1930, 1970)",him; nor of other disciples of Sansovino
"Bigio, Nanni di Baccio (Giovanni di Baccio)","San Gallo, Antonio da (the younger)",239,343.0,"(1014, 1048)",himself under Antonio da San Gallo
