,,page,paragraph,positions,text_snippet
"Fiesole, Mino da (Mino di Giovanni,","Settignano, Desiderio da",154,168.0,"(445, 455)",his master
"Costa, Lorenzo","Ferrarese, Ercole (Ercole da Ferrara)",167,182.0,"(941, 951)",his master
"Bolognese, Guido","Ferrarese, Ercole (Ercole da Ferrara)",170,186.0,"(321, 331)",his master
"Bellini, Gentile|Fabriano, Gentile da","Fabriano, Gentile da|Viniziano, Domenico (Domenico da Venezia)",173,188.0,"(848, 954)","that name in tender memory of Gentile da Fabriano, who had been his master and like a loving father to him"
"Bellini, Giovanni","Vivarino, Luigi",178,195.0,"(367, 407)",Giovanni and partly to the said Vivarino
"Bellini, Gentile","Bellini, Giovanni",181,199.0,"(314, 333)",his brother Gentile
"Bellini, Gentile","Vivarino, Luigi",178,195.0,"(533, 579)","him, painted, beside the last scene of Gentile"
"Cosimo, Andrea di (Andrea di Cosimo Feltrini)","Rosselli, Cosimo",189,216.0,"(449, 471)","him, occupying himself"
Gherardo (of Florence),"Ghirlandajo, Domenico",213,243.0,"(779, 824)","Domenico del Ghirlandajo, he obtained for him"
"Ghirlandajo, David","Ghirlandajo, Domenico",231,262.0,"(456, 467)",his brother
"Ghirlandajo, Domenico","Mainardi, Bastiano (Bastiano da San Gimignano)",232,265.0,"(629, 646)",his art. Domenico
"Ghiberti, Bartoluccio","Pollaiuolo, Antonio",237,268.0,"(495, 540)","Antonio, then, being pushed on by Bartoluccio"
"Pollaiuolo, Antonio|Salvi, Antonio di","Pollaiuolo, Piero",239,273.0,"(187, 204)",his brother Piero
Biagio (pupil of Botticelli),"Botticelli, Sandro (Sandro di Botticello, or Alessandro Filipepi)",251,288.0,"(843, 852)",my master
"Maiano, Benedetto da","Tasso, Domenico del",262,301.0,"(236, 424)","his brothers, Domenico and Giuliano, who likewise executed that of the Sala dell' Orivolo and that of the Audience Chamber. And since the said marble door had been made double by Benedetto"
"Cellini, Baccio","Maiano, Benedetto da",263,306.0,"(95, 207)","his rivals Baccio Cellini, piper to the Signoria of Florence, who made many very beautiful inlaid works in ivory"
Donato (Donatello),"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",269,312.0,"(453, 475)",Donatello and Ghiberti
"Verrocchio, Andrea","Vinci, Leonardo da",271,315.0,"(904, 943)",himself in that art much better than he
Orsino,"Verrocchio, Andrea",275,324.0,"(175, 294)","Andrea, having a very strait friendship with Orsino, a Florentine worker in wax, who had no little judgment in that art"
"Mantegna, Andrea","Squarcione, Jacopo",280,329.0,"(369, 401)","Squarcione, contrived to get him"
"Bellini, Gentile","Mantegna, Andrea",280,329.0,"(398, 446)","him to marry his daughter, the sister of Gentile"
"Bellini, Gentile","Squarcione, Jacopo",280,329.0,"(439, 472)","Gentile. Hearing this, Squarcione"
