,,page,paragraph,positions,text_snippet
"Colle, Simone da (Simone de' Bronzi)","Ghiberti, Bartoluccio",146,123.0,"(837, 2194)","his father Bartoluccio, he polished it with such love and patience that nothing could be executed or finished better. And when the time came for comparing the various works, his and those of the other masters were completely finished, and were given to the Guild of Merchants for judgment; but after all had been seen by the Consuls and by many other citizens, diverse opinions were expressed about them. Many foreigners had assembled in Florence, some painters, some sculptors, and others goldsmiths; and they were invited by the Consuls to give judgment on these works, together with the other men of that profession who lived in Florence. They numbered thirty-four in all, each well experienced in his own art. Now, although there were differences of opinion among them, some liking the manner of one man and some that of another, nevertheless they were agreed that Filippo di Ser Brunellesco and Lorenzo di Bartoluccio had composed and completed their scenes better and with a richer abundance of figures than Donato had done in his, although in that one, also, there was grand design. In that of Jacopo della Quercia the figures were good, but they had no delicacy, although they were made with design and diligence. The work of Francesco di Valdambrina had good heads and was well finished, but was confused in the composition. That of Simone da Colle"
"Colle, Simone da (Simone de' Bronzi)",Donato (Donatello),200,180.0,"(530, 673)","Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Pisano, Andrea",154,136.0,"(453, 501)",Andrea Pisano; but on seeing how greatly Lorenzo
"Buonarroti, Michelagnolo","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",159,140.0,"(502, 576)","Lorenzo deserve to be praised, seeing that one day Michelagnolo Buonarroti"
"Ghiberti, Bonaccorso","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",160,143.0,"(0, 58)","Lorenzo had a son called Bonaccorso, who finished with his"
"Ghiberti, Bonaccorso",Polycletus,160,143.0,"(355, 730)","he had been left with the secret of making castings in such a way as to make them come out delicate, and also with the knowledge and the method of perforating the metal in that manner which is seen in the works left by Lorenzo. The latter, besides the works by his own hand, bequeathed to his heirs many antiquities both in marble and in bronze, such as the bed of Polycletus"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",Polycletus,160,143.0,"(644, 730)","his heirs many antiquities both in marble and in bronze, such as the bed of Polycletus"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Ghiberti, Vittorio",162,147.0,"(171, 259)","Lorenzo. These drawings, with some by Giotto and by others, I had from Vittorio Ghiberti"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Panicale, Masolino da",171,152.0,"(279, 536)","his discipline: and since the doors of S. Giovanni were then being given their finish, he was put to labour on those figures, in company with many others, as it has been said above. And having, in this work, contracted a friendship with Masolino da Panicale"
"Aretino, Spinello","Spinelli, Parri",179,162.0,"(393, 412)",his father Spinello
Masaccio,"Uccello, Paolo",184,163.0,"(809, 903)","his hand at this, and had done something, solving this difficulty to some extent, yet Masaccio"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Masaccio,190,171.0,"(16, 58)","Filippo di Ser Brunellesco, hearing of his"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)",Donato (Donatello),240,220.0,"(506, 513)",him his
Donato (Donatello),"Valdambrina, Francesco di",200,180.0,"(530, 699)","Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle, Francesco di Valdambrina"
Donato (Donatello),"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",201,182.0,"(298, 319)",Lorenzo and to Donato
"Colle, Simone da (Simone de' Bronzi)","Valdambrina, Francesco di",200,180.0,"(658, 699)","Simone da Colle, Francesco di Valdambrina"
"Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)","Valdambrina, Francesco di",200,180.0,"(616, 699)","Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle, Francesco di Valdambrina"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Valdambrina, Francesco di",200,180.0,"(518, 699)","Filippo and Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle, Francesco di Valdambrina"
"Colle, Simone da (Simone de' Bronzi)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",200,180.0,"(616, 673)","Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Colle, Simone da (Simone de' Bronzi)",200,180.0,"(518, 673)","Filippo and Donato, each of them being required to make one scene by himself, in competition with Lorenzo Ghiberti, Jacopo[17] della Fonte, Simone da Colle"
"Brunelleschi, Filippo (Filippo di Ser Brunellesco)","Ghiberti, Lorenzo (Lorenzo di Bartoluccio Ghiberti, or Lorenzo di Cione Ghiberti)",216,194.0,"(1569, 1581)","Lorenzo: ""My"
Donato (Donatello),Simone (brother of Donatello),251,230.0,"(16, 45)","Simone, the brother of Donato"
"Buonarroti, Michelagnolo",Donato (Donatello),255,239.0,"(39, 76)",Donato and of Michelagnolo Buonarroti
Donato (Donatello),Michelozzo Michelozzi,259,241.0,"(664, 682)",this man Donatello
"Filarete, Antonio","Partigiani, Pagno di Lapo",270,249.0,"(111, 287)","he made a tomb of marble in the Church of S. Martino in Lucca, opposite to the Chapel of the Sacrament, for Messer Piero di Nocera, who is portrayed there from nature. Filarete"
