instance_id,rdf:type,oa:hasTarget,oa:hasBodyValue,prov:wasGeneratedBy
viewsari:annotation_111,"oa:Annotation, prov:Entity",viewsari:textchunk_111,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_112,"oa:Annotation, prov:Entity",viewsari:textchunk_112,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_113,"oa:Annotation, prov:Entity",viewsari:textchunk_113,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_114,"oa:Annotation, prov:Entity",viewsari:textchunk_114,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_115,"oa:Annotation, prov:Entity",viewsari:textchunk_115,He,viewsari:named_entity_recognition_run_1
viewsari:annotation_116,"oa:Annotation, prov:Entity",viewsari:textchunk_116,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_117,"oa:Annotation, prov:Entity",viewsari:textchunk_117,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_118,"oa:Annotation, prov:Entity",viewsari:textchunk_118,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_119,"oa:Annotation, prov:Entity",viewsari:textchunk_119,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_120,"oa:Annotation, prov:Entity",viewsari:textchunk_120,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_121,"oa:Annotation, prov:Entity",viewsari:textchunk_121,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_122,"oa:Annotation, prov:Entity",viewsari:textchunk_122,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_123,"oa:Annotation, prov:Entity",viewsari:textchunk_123,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_124,"oa:Annotation, prov:Entity",viewsari:textchunk_124,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_125,"oa:Annotation, prov:Entity",viewsari:textchunk_125,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_126,"oa:Annotation, prov:Entity",viewsari:textchunk_126,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_127,"oa:Annotation, prov:Entity",viewsari:textchunk_127,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_128,"oa:Annotation, prov:Entity",viewsari:textchunk_128,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_129,"oa:Annotation, prov:Entity",viewsari:textchunk_129,our Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_130,"oa:Annotation, prov:Entity",viewsari:textchunk_130,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_131,"oa:Annotation, prov:Entity",viewsari:textchunk_131,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_132,"oa:Annotation, prov:Entity",viewsari:textchunk_132,Brunellesco,viewsari:named_entity_recognition_run_1
viewsari:annotation_133,"oa:Annotation, prov:Entity",viewsari:textchunk_133,Filippo di Ser Brunellesco,viewsari:named_entity_recognition_run_1
viewsari:annotation_134,"oa:Annotation, prov:Entity",viewsari:textchunk_134,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_135,"oa:Annotation, prov:Entity",viewsari:textchunk_135,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_136,"oa:Annotation, prov:Entity",viewsari:textchunk_136,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_137,"oa:Annotation, prov:Entity",viewsari:textchunk_137,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_138,"oa:Annotation, prov:Entity",viewsari:textchunk_138,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_139,"oa:Annotation, prov:Entity",viewsari:textchunk_139,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_140,"oa:Annotation, prov:Entity",viewsari:textchunk_140,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_141,"oa:Annotation, prov:Entity",viewsari:textchunk_141,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_142,"oa:Annotation, prov:Entity",viewsari:textchunk_142,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_143,"oa:Annotation, prov:Entity",viewsari:textchunk_143,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_144,"oa:Annotation, prov:Entity",viewsari:textchunk_144,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_145,"oa:Annotation, prov:Entity",viewsari:textchunk_145,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_146,"oa:Annotation, prov:Entity",viewsari:textchunk_146,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_147,"oa:Annotation, prov:Entity",viewsari:textchunk_147,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_148,"oa:Annotation, prov:Entity",viewsari:textchunk_148,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_149,"oa:Annotation, prov:Entity",viewsari:textchunk_149,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_150,"oa:Annotation, prov:Entity",viewsari:textchunk_150,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_151,"oa:Annotation, prov:Entity",viewsari:textchunk_151,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_152,"oa:Annotation, prov:Entity",viewsari:textchunk_152,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_153,"oa:Annotation, prov:Entity",viewsari:textchunk_153,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_154,"oa:Annotation, prov:Entity",viewsari:textchunk_154,this Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_155,"oa:Annotation, prov:Entity",viewsari:textchunk_155,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_156,"oa:Annotation, prov:Entity",viewsari:textchunk_156,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_157,"oa:Annotation, prov:Entity",viewsari:textchunk_157,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_158,"oa:Annotation, prov:Entity",viewsari:textchunk_158,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_159,"oa:Annotation, prov:Entity",viewsari:textchunk_159,Arnolfo,viewsari:named_entity_recognition_run_1
viewsari:annotation_160,"oa:Annotation, prov:Entity",viewsari:textchunk_160,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_161,"oa:Annotation, prov:Entity",viewsari:textchunk_161,Filippo di Ser Brunellesco,viewsari:named_entity_recognition_run_1
viewsari:annotation_162,"oa:Annotation, prov:Entity",viewsari:textchunk_162,Brunellesco,viewsari:named_entity_recognition_run_1
viewsari:annotation_163,"oa:Annotation, prov:Entity",viewsari:textchunk_163,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_164,"oa:Annotation, prov:Entity",viewsari:textchunk_164,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_165,"oa:Annotation, prov:Entity",viewsari:textchunk_165,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_166,"oa:Annotation, prov:Entity",viewsari:textchunk_166,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_167,"oa:Annotation, prov:Entity",viewsari:textchunk_167,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_168,"oa:Annotation, prov:Entity",viewsari:textchunk_168,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_169,"oa:Annotation, prov:Entity",viewsari:textchunk_169,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_170,"oa:Annotation, prov:Entity",viewsari:textchunk_170,He,viewsari:named_entity_recognition_run_1
viewsari:annotation_171,"oa:Annotation, prov:Entity",viewsari:textchunk_171,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_172,"oa:Annotation, prov:Entity",viewsari:textchunk_172,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_173,"oa:Annotation, prov:Entity",viewsari:textchunk_173,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_174,"oa:Annotation, prov:Entity",viewsari:textchunk_174,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_175,"oa:Annotation, prov:Entity",viewsari:textchunk_175,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_176,"oa:Annotation, prov:Entity",viewsari:textchunk_176,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_177,"oa:Annotation, prov:Entity",viewsari:textchunk_177,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_178,"oa:Annotation, prov:Entity",viewsari:textchunk_178,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_179,"oa:Annotation, prov:Entity",viewsari:textchunk_179,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_180,"oa:Annotation, prov:Entity",viewsari:textchunk_180,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_181,"oa:Annotation, prov:Entity",viewsari:textchunk_181,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_182,"oa:Annotation, prov:Entity",viewsari:textchunk_182,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_183,"oa:Annotation, prov:Entity",viewsari:textchunk_183,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_184,"oa:Annotation, prov:Entity",viewsari:textchunk_184,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_185,"oa:Annotation, prov:Entity",viewsari:textchunk_185,Fuccio,viewsari:named_entity_recognition_run_1
viewsari:annotation_186,"oa:Annotation, prov:Entity",viewsari:textchunk_186,Fuccio,viewsari:named_entity_recognition_run_1
viewsari:annotation_187,"oa:Annotation, prov:Entity",viewsari:textchunk_187,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_188,"oa:Annotation, prov:Entity",viewsari:textchunk_188,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_189,"oa:Annotation, prov:Entity",viewsari:textchunk_189,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_190,"oa:Annotation, prov:Entity",viewsari:textchunk_190,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_191,"oa:Annotation, prov:Entity",viewsari:textchunk_191,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_192,"oa:Annotation, prov:Entity",viewsari:textchunk_192,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_193,"oa:Annotation, prov:Entity",viewsari:textchunk_193,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_194,"oa:Annotation, prov:Entity",viewsari:textchunk_194,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_195,"oa:Annotation, prov:Entity",viewsari:textchunk_195,the latter,viewsari:named_entity_recognition_run_1
viewsari:annotation_196,"oa:Annotation, prov:Entity",viewsari:textchunk_196,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_197,"oa:Annotation, prov:Entity",viewsari:textchunk_197,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_198,"oa:Annotation, prov:Entity",viewsari:textchunk_198,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_199,"oa:Annotation, prov:Entity",viewsari:textchunk_199,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_200,"oa:Annotation, prov:Entity",viewsari:textchunk_200,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_201,"oa:Annotation, prov:Entity",viewsari:textchunk_201,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_202,"oa:Annotation, prov:Entity",viewsari:textchunk_202,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_203,"oa:Annotation, prov:Entity",viewsari:textchunk_203,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_204,"oa:Annotation, prov:Entity",viewsari:textchunk_204,"Niccola, his master",viewsari:named_entity_recognition_run_1
viewsari:annotation_205,"oa:Annotation, prov:Entity",viewsari:textchunk_205,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_206,"oa:Annotation, prov:Entity",viewsari:textchunk_206,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_207,"oa:Annotation, prov:Entity",viewsari:textchunk_207,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_208,"oa:Annotation, prov:Entity",viewsari:textchunk_208,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_209,"oa:Annotation, prov:Entity",viewsari:textchunk_209,his,viewsari:named_entity_recognition_run_1
viewsari:annotation_210,"oa:Annotation, prov:Entity",viewsari:textchunk_210,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_211,"oa:Annotation, prov:Entity",viewsari:textchunk_211,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_212,"oa:Annotation, prov:Entity",viewsari:textchunk_212,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_213,"oa:Annotation, prov:Entity",viewsari:textchunk_213,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_214,"oa:Annotation, prov:Entity",viewsari:textchunk_214,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_215,"oa:Annotation, prov:Entity",viewsari:textchunk_215,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_216,"oa:Annotation, prov:Entity",viewsari:textchunk_216,himself,viewsari:named_entity_recognition_run_1
viewsari:annotation_217,"oa:Annotation, prov:Entity",viewsari:textchunk_217,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_218,"oa:Annotation, prov:Entity",viewsari:textchunk_218,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_219,"oa:Annotation, prov:Entity",viewsari:textchunk_219,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_220,"oa:Annotation, prov:Entity",viewsari:textchunk_220,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_221,"oa:Annotation, prov:Entity",viewsari:textchunk_221,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_222,"oa:Annotation, prov:Entity",viewsari:textchunk_222,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_223,"oa:Annotation, prov:Entity",viewsari:textchunk_223,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_224,"oa:Annotation, prov:Entity",viewsari:textchunk_224,him,viewsari:named_entity_recognition_run_1
viewsari:annotation_225,"oa:Annotation, prov:Entity",viewsari:textchunk_225,Niccola,viewsari:named_entity_recognition_run_1
viewsari:annotation_226,"oa:Annotation, prov:Entity",viewsari:textchunk_226,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_227,"oa:Annotation, prov:Entity",viewsari:textchunk_227,he,viewsari:named_entity_recognition_run_1
viewsari:annotation_228,"oa:Annotation, prov:Entity",viewsari:textchunk_228,he,viewsari:named_entity_recognition_run_1
