id,start_pos,end_pos,surface,type,value,is_nested
39,1536,1580,"S. Cantius, S. Cantianus, and S. Cantianilla",WORK,NIL,
39,1706,1725,S. John the Baptist,WORK,NIL,
39,1731,1743,S. Sebastian,WORK,NIL,
39,1839,1906,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome,WORK,NIL,
39,1974,2001,S. Catharine and S. Francis,WORK,NIL,
39,2020,2084,"Our Lady with S. James the Apostle, S. Francis, and many figures",WORK,NIL,
39,2178,2202,Madonna and many figures,WORK,NIL,
39,2415,2441,S. Laurence and S. Francis,WORK,Q17590,
41,94,147,Madonna who has under her mantle the people of Arezzo,WORK,NIL,
41,822,901,"Madonna with the Child in her arms, with some angels who are opening her mantle",WORK,NIL,
41,942,955,S. Laurentino,WORK,NIL,
41,960,973,S. Pergentino,WORK,NIL,
41,1862,1874,Annunciation,WORK,NIL,
41,2011,2023,S. Catherine,WORK,NIL,
41,2128,2145,S. Mary Magdalene,WORK,NIL,
41,2312,2338,Crucifix with four figures,WORK,NIL,
41,2418,2440,stories of S. Nicholas,WORK,NIL,
43,153,194,panel for S. Giovanni in Monte at Bologna,WORK,Q1103801,
44,1363,1412,altar-piece of the high-altar in S. Maria Novella,WORK,Q3889212,
44,1611,1621,S. Stephen,WORK,NIL,
44,1625,1650,disputation of that Saint,WORK,NIL,
44,1737,1772,"S. Antonino, Archbishop of Florence",WORK,NIL,
44,1778,1799,S. Catharine of Siena,WORK,NIL,
44,1838,1846,S. Lucia,WORK,NIL,
45,888,918,Christ and Our Lady in the air,WORK,NIL,
45,1109,1137,Dead Christ with the  Maries,WORK,NIL,
45,1160,1200,"Assumption of Our Lady, with some Saints",WORK,NIL,
45,1402,1426,Our Lady and some Saints,WORK,NIL,
45,1544,1584,"Our Lady, S. Anne, and many other Saints",WORK,NIL,
45,1631,1663,Beheading of S. John the Baptist,WORK,NIL,
45,1728,1740,Annunciation,WORK,NIL,
45,1802,1851,"S. Rocco, S. Sebastian, and between them Our Lady",WORK,NIL,
45,1968,2004,"Our Lady, S. Sebastian, and S. James",WORK,NIL,
45,2101,2108,S. Anne,WORK,NIL,
49,387,412,Our Lady going into Egypt,WORK,NIL,
49,981,990,Ecce Homo,WORK,Q4411819,
49,1124,1189,"Our Lady with other figures the size of life, of men and children",WORK,NIL,
49,1386,1421,Angel Raphael with Tobias and a dog,WORK,NIL,
50,1403,1464,two scenes in silver for the ends of the altar of S. Giovanni,WORK,NIL,
50,1444,1464,altar of S. Giovanni,WORK,Q24933218,1
51,1745,1753,Crucifix,WORK, NIL,
51,2343,2350,Madonna,WORK,NIL,
53,1223,1238,Transfiguration,WORK,NIL,
53,1244,1271,Marriage of Cana in Galilee,WORK,NIL,
53,1281,1313,Centurion kneeling before Christ,WORK,NIL,
53,1686,1714,stories of Moses and Pharaoh,WORK,NIL,
53,2028,2065,Angel slaying the first-born in Egypt,WORK,NIL,
53,2834,2841,Justice,WORK,NIL,
53,2846,2852,Equity,WORK,NIL,
