pages,paragraph_id,text
13,23,"There he made for Lorenzo di Pier Francesco de' Medici a S. Giovannino of marble, and then set himself to make from another piece of marble a Cupid that was sleeping, of the size of life. This, when finished, was shown by means of Baldassarre del Milanese to Lorenzo di Pier Francesco as a beautiful thing, and he, having pronounced the same judgment, said to Michelagnolo: ""If you were to bury it under ground and then sent it to Rome treated in such a manner as to make it look old, I am certain that it would pass for an antique, and you would thus obtain much more for it than by selling it here."" It is said that Michelagnolo handled it in such a manner as to make it appear an antique; nor is there any reason to marvel at that, seeing that he had genius enough to do it, and even more. Others maintain that Milanese took it to Rome and buried it in a vineyard that he had there, and then sold it as an antique to Cardinal San Giorgio for two hundred ducats. Others, again, say that Milanese sold to the Cardinal one that Michelagnolo had made for him, and that he wrote to Lorenzo di Pier Francesco that he should cause thirty crowns to be given to Michelagnolo, saying that he had not received more for the Cupid, and thus deceiving the Cardinal, Lorenzo di Pier Francesco, and Michelagnolo; but afterwards, having received information from one who had seen that the boy was fashioned in Florence, the Cardinal contrived to learn the truth by means of a messenger, and so went to work that Milanese's agent had to restore the money and take back the Cupid. That work, having come into the possession of Duke Valentino, was presented by him to the Marchioness of Mantua, who took it to her own country, where it is still to be seen at the present day.  This affair did not happen without some censure attaching to Cardinal San Giorgio, in that he did not recognize the value of the work, which consisted in its perfection; for modern works, if only they be excellent, are as good as the ancient. What greater vanity is there than that of those who concern themselves more with the name than the fact? But of that kind of men, who pay more attention to the appearance than to the reality, there are some to be found at any time."
14,24,"Now this event brought so much reputation to Michelagnolo, that he was straightway summoned to Rome and engaged by Cardinal San Giorgio, with whom he stayed nearly a year, although, as one little conversant with our arts, he did not commission Michelagnolo to do anything. At that time a barber of the Cardinal, who had been a painter, and could paint with great diligence in distemper-colours, but knew nothing of design, formed a friendship with Michelagnolo, who made for him a cartoon of S. Francis receiving the Stigmata. That cartoon was painted very carefully in colours by the barber on a little panel; and the picture is now to be seen in S. Pietro a Montorio in the first chapel on the left hand as one enters the church. The talent of Michelagnolo was then clearly recognized by a Roman gentleman named Messer Jacopo Galli, an ingenious person, who caused him to make a Cupid of marble as large as life, and then a figure of a Bacchus ten palms high, who has a cup in the right hand, and in the left hand the skin of a tiger, with a bunch of grapes at which a little satyr is trying to nibble. In that figure it may be seen that he sought to achieve a certain fusion in the members that is marvellous, and in particular that he gave it both the youthful slenderness of the male and the fullness and roundness of the female—a thing so admirable, that he proved himself excellent in statuary beyond any other modern that had worked up to that time. On which account, during his stay in Rome, he made so much proficience in the studies of art, that it was a thing incredible to see his exalted thoughts and the difficulties of the manner exercised by him with such supreme facility; to the amazement not only of those who were not accustomed to see such things, but also of those familiar with good work, for the reason that all the works executed up to that time appeared as nothing in comparison  with his. These things awakened in Cardinal di San Dionigi, called Cardinal de Rohan, a Frenchman, a desire to leave in a city so famous some worthy memorial of himself by the hand of so rare a craftsman; and he caused him to make a Pietà of marble in the round, which, when finished, was placed in the Chapel of the Vergine Maria della Febbre in S. Pietro, where the Temple of Mars used to be. To this work let no sculptor, however rare a craftsman, ever think to be able to approach in design or in grace, or ever to be able with all the pains in the world to attain to such delicacy and smoothness or to perforate the marble with such art as Michelagnolo did therein, for in it may be seen all the power and worth of art. Among the lovely things to be seen in the work, to say nothing of the divinely beautiful draperies, is the body of Christ; nor let anyone think to see greater beauty of members or more mastery of art in any body, or a nude with more detail in the muscles, veins, and nerves over the framework of the bones, nor yet a corpse more similar than this to a real corpse. Here is perfect sweetness in the expression of the head, harmony in the joints and attachments of the arms, legs, and trunk, and the pulses and veins so wrought, that in truth Wonder herself must marvel that the hand of a craftsman should have been able to execute so divinely and so perfectly, in so short a time, a work so admirable; and it is certainly a miracle that a stone without any shape at the beginning should ever have been reduced to such perfection as Nature is scarcely able to create in the flesh. Such were Michelagnolo's love and zeal together in this work, that he left his name—a thing that he never did again in any other work—written across a girdle that encircles the bosom of Our Lady. And the reason was that one day Michelagnolo, entering the place where it was set up, found there a great number of strangers from Lombardy, who were praising it highly, and one of them asked one of the others who had done it, and he answered, ""Our Gobbo from Milan."" Michelagnolo stood silent, but thought it something strange that his labours should be attributed to another; and one night he shut himself in there, and, having brought a little light and his chisels, carved his name upon it. And truly the work is such, that an exalted spirit has said, as to a real and living figure—"
15,25,"Bellezza ed Onestate E Doglia e Pietà in vivo marmo morte, Deh, come voi pur fate, Non piangete si forte, Che anzi tempo risveglisi da morte; E pur mal grado suo Nostro Signore, e tuo Sposo, Figliuolo, e Padre, Unica Sposa sua, Figliuola, e Madre."
15,26,"From this work he acquired very great fame, and although certain persons, rather fools than otherwise, say that he has made Our Lady too young, are these so ignorant as not to know that unspotted virgins maintain and preserve their freshness of countenance a long time without any mark, and that persons afflicted as Christ was do the contrary? That circumstance, therefore, won an even greater increase of glory and fame for his genius than all his previous works."
16,27,"Letters were written to him from Florence by some of his friends, saying that he should return, because it was not unlikely that he might obtain the spoiled block of marble lying in the Office of Works, which Piero Soderini, who at that time had been made Gonfalonier of the city for life, had very often talked of having executed by Leonardo da Vinci, and was then arranging to give to Maestro Andrea Contucci of Monte Sansovino, an excellent sculptor, who was seeking to obtain it. Now, however difficult it might be to carve a complete figure out of it without adding pieces (for which work of finishing it without adding pieces none of the others, save Buonarroti alone, had courage enough), Michelagnolo had felt a desire for it for many years back; and, having come to Florence, he sought to obtain it. This block of marble was nine braccia high, and from it, unluckily, one Maestro Simone da Fiesole had begun a giant, and he had managed to work so ill, that he had hacked a hole between the legs, and it was altogether misshapen and reduced to ruin, insomuch that the Wardens of Works of S. Maria del Fiore, who had the charge of the undertaking, had placed it on one side without troubling to have it finished; and so it had remained for many years past, and was likely to remain. Michelagnolo measured it all anew, considering  whether he might be able to carve a reasonable figure from that block by accommodating himself as to the attitude to the marble as it had been left all misshapen by Maestro Simone; and he resolved to ask for it from Soderini and the Wardens, by whom it was granted to him as a thing of no value, they thinking that whatever he might make of it would be better than the state in which it was at that time, seeing that neither in pieces nor in that condition could it be of any use to their building. Whereupon Michelagnolo made a model of wax, fashioning in it, as a device for the Palace, a young David with a sling in his hand, to the end that, even as he had defended his people and governed them with justice, so those governing that city might defend her valiantly and govern her justly. And he began it in the Office of Works of S. Maria del Fiore, in which he made an enclosure of planks and masonry, thus surrounding the marble; and, working at it continuously without anyone seeing it, he carried it to perfect completion. The marble had already been spoilt and distorted by Maestro Simone, and in some places it was not enough to satisfy the wishes of Michelagnolo for what he would have liked to do with it; and he therefore suffered certain of the first marks of Maestro Simone's chisel to remain on the extremity of the marble, some of which are still to be seen. And truly it was a miracle on the part of Michelagnolo to restore to life a thing that was dead."
16,28,"This statue, when finished, was of such a kind that many disputes took place as to how to transport it to the Piazza della Signoria. Whereupon Giuliano da San Gallo and his brother Antonio made a very strong framework of wood and suspended the figure from it with ropes, to the end that it might not hit against the wood and break to pieces, but might rather keep rocking gently; and they drew it with windlasses over flat beams laid upon the ground, and then set it in place. On the rope which held the figure suspended he made a slip-knot which was very easy to undo but tightened as the weight increased, which is a most beautiful and ingenious thing; and I have in my book a drawing of it by his own hand—an admirable, secure, and strong contrivance for suspending weights."
17,29,"It happened at this time that Piero Soderini, having seen it in  place, was well pleased with it, but said to Michelagnolo, at a moment when he was retouching it in certain parts, that it seemed to him that the nose of the figure was too thick. Michelagnolo noticed that the Gonfalonier was beneath the Giant, and that his point of view prevented him from seeing it properly; but in order to satisfy him he climbed upon the staging, which was against the shoulders, and quickly took up a chisel in his left hand, with a little of the marble-dust that lay upon the planks of the staging, and then, beginning to strike lightly with the chisel, let fall the dust little by little, nor changed the nose a whit from what it was before. Then, looking down at the Gonfalonier, who stood watching him, he said, ""Look at it now."" ""I like it better,"" said the Gonfalonier, ""you have given it life."" And so Michelagnolo came down, laughing to himself at having satisfied that lord, for he had compassion on those who, in order to appear full of knowledge, talk about things of which they know nothing."
18,30,"When it was built up, and all was finished, he uncovered it, and it cannot be denied that this work has carried off the palm from all other statues, modern or ancient, Greek or Latin; and it may be said that neither the Marforio at Rome, nor the Tiber and the Nile of the Belvedere, nor the Giants of Monte Cavallo, are equal to it in any respect, with such just proportion, beauty and excellence did Michelagnolo finish it. For in it may be seen most beautiful contours of legs, with attachments of limbs and slender outlines of flanks that are divine; nor has there ever been seen a pose so easy, or any grace to equal that in this work, or feet, hands and head so well in accord, one member with another, in harmony, design, and excellence of artistry. And, of a truth, whoever has seen this work need not trouble to see any other work executed in sculpture, either in our own or in other times, by no matter what craftsman. Michelagnolo received from Piero Soderini in payment for it four hundred crowns; and it was set in place in the year 1504. In consequence of the fame that he thereby won as a sculptor, he made for the above-named Gonfalonier a most beautiful David of bronze, which Soderini sent to France; and at this time, also, he began, but did not finish, two medallions of marble—one for Taddeo Taddei, which is now in his  house, and another that he began for Bartolommeo Pitti, which was presented by Fra Miniato Pitti of Monte Oliveto, a man with a rare knowledge in cosmography and many other sciences, and particularly in painting, to Luigi Guicciardini, who was much his friend. These works were held to be admirable in their excellence; and at this same time, also, he blocked out a statue of S. Matthew in marble in the Office of Works of S. Maria del Fiore, which statue, rough as it is, reveals its full perfection and teaches sculptors in what manner figures can be carved out of marble without their coming out misshapen, so that it may be possible to go on ever improving them by removing more of the marble with judgment, and also to draw back and change some part, according as the necessity may arise. He also made a medallion in bronze of a Madonna, which he cast in bronze at the request of certain Flemish merchants of the Moscheroni family, persons of high nobility in their own country, who paid him a hundred crowns for it, and intended to send it to Flanders."
19,31,"There came to Agnolo Doni, a Florentine citizen and a friend of Michelagnolo, who much delighted to have beautiful things both by ancient and by modern craftsmen, a desire to possess some work by Michelagnolo; wherefore that master began for him a round picture containing a Madonna, who, kneeling on both knees, has an Infant in her arms and presents Him to Joseph, who receives Him. Here Michelagnolo expresses in the turn of the head of the Mother of Christ and in the gaze of her eyes, which she keeps fixed on the supreme beauty of her Son, her marvellous contentment and her lovingness in sharing it with that saintly old man, who receives Him with equal affection, tenderness, and reverence, as may be seen very readily in his countenance, without considering it long. Nor was this enough for Michelagnolo, who, the better to show how great was his art, made in the background of his work a number of nudes, some leaning, some standing, and some seated; and with such diligence and finish he executed this work, that without a doubt, of his pictures on panel, which indeed are but few, it is held to be the most finished and the most beautiful work that there is to be found. When it was completed, he sent it covered up to Agnolo's house by a  messenger, with a note demanding seventy ducats in payment. It seemed strange to Agnolo, who was a careful person, to spend so much on a picture, although he knew that it was worth more, and he said to the messenger that forty was enough, which he gave to him. Thereupon Michelagnolo sent them back to him, with a message to say that he should send back either one hundred ducats or the picture. Then Agnolo, who liked the work, said, ""I will give him these seventy,"" but he was not content; indeed, angered by Agnolo's breach of faith, he demanded the double of what he had asked the first time, so that, if Agnolo wanted the picture, he was forced to send him a hundred and forty."
20,32,"It happened that while Leonardo da Vinci, that rare painter, was painting in the Great Council Hall, as has been related in his Life, Piero Soderini, who was then Gonfalonier, moved by the great ability that he saw in Michelagnolo, caused a part of that Hall to be allotted to him; which was the reason that he executed the other façade in competition with Leonardo, taking as his subject the War of Pisa. To this end Michelagnolo was given a room in the Hospital of the Dyers at S. Onofrio, and there he began a vast cartoon, but would never consent that anyone should see it. And this he filled with naked men that were bathing in the River Arno on account of the heat, when suddenly the alarm sounded in the camp, announcing that the enemy were attacking; and, as the soldiers were springing out of the water to dress themselves, there could be seen, depicted by the divine hands of Michelagnolo, some hastening to arm themselves in order to give assistance to their companions, others buckling on their cuirasses, many fastening other armour on their bodies, and a vast number beginning the fray and fighting on horseback. There was, among other figures, an old man who had a garland of ivy on his head to shade it, and he, having sat down in order to put on his hose, into which his legs would not go because they were wet with water, and hearing the cries and tumult of the soldiers and the uproar of the drummers, was struggling to draw on one stocking by force; and, besides that all the muscles and nerves of his figure could be perceived, his mouth was so distorted as to show clearly how he was straining and struggling even to the very tips of his toes. There were also drummers, and figures  with their clothes in their arms running to the combat; and there were to be seen the most extravagant attitudes, some standing, some kneeling or bent double, others stretched horizontally and struggling in mid-air, and all with masterly foreshortenings. There were also many figures in groups, all sketched in various manners, some outlined with charcoal, some drawn with strokes, others stumped in and heightened with lead-white, Michelagnolo desiring to show how much he knew in his profession. Wherefore the craftsmen were seized with admiration and astonishment, seeing the perfection of art revealed to them in that drawing by Michelagnolo; and some who saw them, after beholding figures so divine, declare that there has never been seen any work, either by his hand or by the hands of others, no matter how great their genius, that can equal it in divine beauty of art. And, in truth, it is likely enough, for the reason that since the time when it was finished and carried to the Sala del Papa with great acclamation from the world of art and extraordinary glory for Michelagnolo, all those who studied from that cartoon and drew those figures—as was afterwards the custom in Florence for many years both for strangers and for natives—became persons eminent in art, as we have since seen. For among those who studied the cartoon were Aristotile da San Gallo, the friend of Michelagnolo, Ridolfo Ghirlandajo, Raffaello Sanzio of Urbino, Francesco Granacci, Baccio Bandinelli, and the Spaniard Alonzo Berughetta, and then there followed Andrea del Sarto, Franciabigio, Jacopo Sansovino, Rosso, Maturino, Lorenzetto, Tribolo, who was then a boy, Jacopo da Pontormo, and Perino del Vaga; and all these became excellent Florentine masters. The cartoon having thus become a school for craftsmen, it was taken into the Great Upper Hall in the house of the Medici; and this was the reason that it was left with too little caution in the hands of the craftsmen, insomuch that during the illness of Duke Giuliano, while no one was expecting such a thing, it was torn up and divided into many pieces, as has been related elsewhere, and scattered over various places, to which some pieces bear witness that are still to be seen in Mantua, in the house of M. Uberto Strozzi, a gentleman of that city, where they are treasured with great reverence; and, indeed, they seem to the eye things rather divine than human."
